Season,Round,Region Number,Region Name,Seed,Score,School,School,Score,Seed,,,
1998-1999,1,2,Midwest,1,76,michigan-state,mount-st.-mary's,53,16,,,
1998-1999,1,2,Midwest,2,80,utah,arkansas-state,58,15,,,
1998-1999,1,2,Midwest,3,82,kentucky,new-mexico-state,60,14,,,
1998-1999,1,2,Midwest,4,60,arizona,oklahoma,61,13,,,
1998-1999,1,2,Midwest,5,81,charlotte,rhode-island,70,12,,,
1998-1999,1,2,Midwest,6,95,kansas,evansville,74,11,,,
1998-1999,1,2,Midwest,7,58,washington,miami-(oh),59,10,,,
1998-1999,1,2,Midwest,8,70,villanova,mississippi,72,9,,,
1998-1999,1,3,South,1,80,auburn,winthrop,41,16,,,
1998-1999,1,3,South,2,82,maryland,valparaiso,60,15,,,
